Date,Open,High,Low,Close,Adj Close,Volume
29-08-2016,58.18,58.599998,58.099998,58.099998,53.422482,16417200
30-08-2016,57.98,58.189999,57.610001,57.889999,53.229385,16930200
31-08-2016,57.650002,57.799999,57.299999,57.459999,52.834,20860300
01-09-2016,57.009998,57.82,57.009998,57.59,52.953541,26075400
02-09-2016,57.669998,58.189999,57.419998,57.669998,53.027096,18900500
06-09-2016,57.779999,57.799999,57.209999,57.610001,52.971928,16278400
07-09-2016,57.470001,57.84,57.41,57.66,53.017895,17493400
08-09-2016,57.630001,57.790001,57.18,57.43,52.806423,20146100
09-09-2016,56.790001,57.52,56.209999,56.209999,51.684635,35113900
12-09-2016,56,57.209999,55.610001,57.049999,52.457012,29303000
13-09-2016,56.5,56.650002,56.049999,56.529999,51.978863,30130200
14-09-2016,56.389999,56.630001,56.029999,56.259998,51.73061,24062500
15-09-2016,56.150002,57.349998,55.98,57.189999,52.585739,26847000
16-09-2016,57.630001,57.630001,56.75,57.25,52.640903,44607000
19-09-2016,57.27,57.75,56.849998,56.93,52.346676,20937100
20-09-2016,57.349998,57.349998,56.75,56.810001,52.23634,17384000
21-09-2016,57.509998,57.849998,57.080002,57.759998,53.109852,33707300
22-09-2016,57.919998,58,57.630001,57.82,53.165024,19822200
23-09-2016,57.869999,57.91,57.380001,57.43,52.806423,19955300
26-09-2016,57.080002,57.139999,56.830002,56.900002,52.319092,21688700
27-09-2016,56.93,58.060001,56.68,57.950001,53.284554,28065100
28-09-2016,57.880001,58.060001,57.669998,58.029999,53.358112,20536400
29-09-2016,57.810001,58.169998,57.209999,57.400002,52.778831,25463500
30-09-2016,57.57,57.77,57.34,57.599998,52.962727,29910800
03-10-2016,57.41,57.549999,57.060001,57.419998,52.797215,19189500
04-10-2016,57.27,57.599998,56.970001,57.240002,52.631718,20085900
05-10-2016,57.290001,57.959999,57.259998,57.639999,52.999496,16726400
06-10-2016,57.740002,57.860001,57.279999,57.740002,53.091469,16212600
07-10-2016,57.849998,57.98,57.419998,57.799999,53.146633,20089000
10-10-2016,57.91,58.389999,57.869999,58.040001,53.367313,18196500
11-10-2016,57.889999,58.02,56.889999,57.189999,52.585739,26497400
12-10-2016,57.110001,57.27,56.400002,57.110001,52.512184,22177500
13-10-2016,56.700001,57.299999,56.32,56.919998,52.337475,25313700
14-10-2016,57.119999,57.740002,57.119999,57.419998,52.797215,27402500
17-10-2016,57.360001,57.459999,56.869999,57.220001,52.613323,23830000
18-10-2016,57.529999,57.950001,57.41,57.66,53.017895,19149500
19-10-2016,57.470001,57.84,57.400002,57.529999,52.898369,22878400
20-10-2016,57.5,57.52,56.66,57.25,52.640903,49455600
21-10-2016,60.279999,60.450001,59.490002,59.66,54.85688,80032200
24-10-2016,59.939999,61,59.93,61,56.089005,54067000
25-10-2016,60.849998,61.369999,60.799999,60.990002,56.079819,35137200
26-10-2016,60.810001,61.200001,60.470001,60.630001,55.748795,29911600
27-10-2016,60.610001,60.830002,60.09,60.099998,55.261456,28479900
28-10-2016,60.009998,60.52,59.580002,59.869999,55.04998,33574700
31-10-2016,60.16,60.419998,59.919998,59.919998,55.095947,26434700
01-11-2016,59.970001,60.02,59.25,59.799999,54.985615,24533000
02-11-2016,59.82,59.93,59.299999,59.43,54.645405,22147000
03-11-2016,59.529999,59.639999,59.110001,59.209999,54.443108,21600400
04-11-2016,58.650002,59.279999,58.52,58.709999,53.983368,28697000
07-11-2016,59.779999,60.52,59.779999,60.419998,55.555706,31664800
