Date, Open, High, Low, Close, Volume
07/14/17,36.9925,37.3325,36.8325,37.26,80528244
07/13/17,36.375,37.1225,36.36,36.9425,100797476
07-12-2017,36.4675,36.545,36.205,36.435,99537920
07-11-2017,36.1825,36.4625,36.095,36.3825,79127360
07-10-2017,36.0275,36.4875,35.8425,36.265,84362564
07-07-2017,35.725,36.1875,35.725,36.045,76806844
07-06-2017,35.755,35.875,35.6025,35.6825,96515116
07-05-2017,35.9225,36.1975,35.6809,36.0225,86278244
07-03-2017,36.22,36.325,35.775,35.875,57111400
06/30/17,36.1125,36.24,35.945,36.005,92096436
06/29/17,36.1775,36.2825,35.57,35.92,125997476
06/28/17,36.1225,36.5275,35.79,36.4575,88329720
06/27/17,36.2525,36.54,35.905,35.9325,99047564
06/26/17,36.7925,37.07,36.345,36.455,102769436
06/23/17,36.2825,36.79,36.2775,36.57,141757564
06/22/17,36.4425,36.675,36.28,36.4075,76425156
06/21/17,36.38,36.5173,36.1525,36.4675,85063000
06/20/17,36.7175,36.7175,36.235,36.2525,99600280
06/19/17,35.915,36.685,35.915,36.585,130165600
06/16/17,35.945,36.125,35.55,35.5675,201444360
06/15/17,35.83,36.12,35.5525,36.0725,128661476
06/14/17,36.875,36.875,35.96,36.29,126124920
06/13/17,36.79,36.8625,36.2875,36.6475,136661796
06-12-2017,36.435,36.5225,35.6275,36.355,289229312
06-09-2017,38.7975,38.7975,36.505,37.245,259530640
06-08-2017,38.8125,38.885,38.6,38.7475,85003204
06-07-2017,38.755,38.995,38.62,38.8425,84278600
06-06-2017,38.475,38.9525,38.445,38.6125,106499720
06-05-2017,38.585,38.6125,38.365,38.4825,101326640
06-02-2017,38.395,38.8625,38.2225,38.8625,111082884
06-01-2017,38.2925,38.3325,38.055,38.295,65616360
05/31/17,38.4925,38.5425,38.095,38.19,97804640
05/30/17,38.355,38.6075,38.3325,38.4175,80507400
05/26/17,38.5,38.56,38.3275,38.4025,87710564
05/25/17,38.4325,38.5875,38.2575,38.4675,76942400
05/24/17,38.46,38.5425,38.1675,38.335,76876600
05/23/17,38.725,38.725,38.3275,38.45,79675476
05/22/17,38.5,38.645,38.2275,38.4975,91865756
05/19/17,38.345,38.495,38.1575,38.265,107843156
05/18/17,37.8175,38.335,37.7825,38.135,134272876
05/17/17,38.4,38.6425,37.4275,37.5625,203070720
05/16/17,38.985,39.015,38.68,38.8675,80193920
05/15/17,39.0025,39.1625,38.7625,38.925,104038884
05-12-2017,38.675,39.105,38.6675,39.025,130108080
05-11-2017,38.1125,38.5175,38.0775,38.4875,109020244
05-10-2017,38.4075,38.485,38.0275,38.315,103222756
05-09-2017,38.4675,38.72,38.3625,38.4975,156521436
05-08-2017,37.2575,38.425,37.2575,38.2525,195009624
05-05-2017,36.69,37.245,36.69,37.24,109310920
05-04-2017,36.63,36.785,36.4525,36.6325,93487476
05-03-2017,36.3975,36.8725,36.0675,36.765,182788124
05-02-2017,36.885,37.0225,36.71,36.8775,181408764
